,提出日時,問題,ユーザー,言語,得点,コード長,結果,実行時間,メモリ
ABC247,2023-05-08 15:32:19,C - 1 2 1 3 1 2 1,lattekawaii,C++ (GCC 9.2.1),0,451 Byte,MLE,1707 ms,2350168 KB
ABC247,2023-05-08 15:30:35,C - 1 2 1 3 1 2 1,lattekawaii,C++ (GCC 9.2.1),0,409 Byte,MLE,1524 ms,2349400 KB
ABC247,2023-05-06 23:36:15,C - 1 2 1 3 1 2 1,lattekawaii,C++ (GCC 9.2.1),0,751 Byte,MLE,1914 ms,2350592 KB
ABC247,2023-05-06 23:22:45,C - 1 2 1 3 1 2 1,lattekawaii,C++ (GCC 9.2.1),0,640 Byte,WA,11 ms,3572 KB
ABC247,2023-05-05 21:44:49,B - Unique Nicknames,lattekawaii,C++ (GCC 9.2.1),200,1133 Byte,AC,6 ms,3620 KB
ABC247,2023-05-05 21:43:26,B - Unique Nicknames,lattekawaii,C++ (GCC 9.2.1),0,1073 Byte,WA,7 ms,3652 KB
ABC252,2023-05-11 23:46:01,A - ASCII code,lattekawaii,C++ (GCC 9.2.1),100,341 Byte,AC,7 ms,3632 KB
ABC254,2023-05-12 23:01:16,A - Last Two Digits,lattekawaii,C++ (GCC 9.2.1),100,419 Byte,AC,6 ms,3564 KB
ABC256,2023-04-05 22:50:17,A - 2^N,lattekawaii,C++ (GCC 9.2.1),100,327 Byte,AC,7 ms,3588 KB
ABC257,2023-05-16 23:34:33,A - A to Z String 2,lattekawaii,C++ (GCC 9.2.1),100,533 Byte,AC,8 ms,3484 KB
ABC260,2023-03-31 23:54:07,A - A Unique Letter,lattekawaii,C++ (GCC 9.2.1),100,533 Byte,AC,8 ms,3560 KB
ABC261,2023-06-03 00:07:25,A - Intersection,lattekawaii,C++ (GCC 9.2.1),100,415 Byte,AC,7 ms,3564 KB
ABC261,2023-06-02 23:57:38,A - Intersection,lattekawaii,C++ (GCC 9.2.1),0,374 Byte,WA,7 ms,3588 KB
ABC262,2023-04-01 00:00:40,A - World Cup,lattekawaii,C++ (GCC 9.2.1),100,405 Byte,AC,6 ms,3588 KB
ABC263,2023-04-16 20:11:10,A - Full House,lattekawaii,C++ (GCC 9.2.1),100,868 Byte,AC,5 ms,3556 KB
ABC264,2023-03-31 22:49:40,"A - ""atcoder"".substr()",lattekawaii,C++ (GCC 9.2.1),100,309 Byte,AC,6 ms,3580 KB
ABC265,2023-03-31 23:47:59,A - Apple,lattekawaii,C++ (GCC 9.2.1),100,531 Byte,AC,6 ms,3592 KB
ABC266,2023-03-31 23:58:06,A - Middle Letter,lattekawaii,C++ (GCC 9.2.1),100,287 Byte,AC,7 ms,3532 KB
ABC267,2023-04-11 22:38:29,B - Split?,lattekawaii,C++ (GCC 9.2.1),200,1259 Byte,AC,8 ms,3592 KB
ABC267,2023-04-11 22:34:28,B - Split?,lattekawaii,C++ (GCC 9.2.1),0,1142 Byte,WA,8 ms,3600 KB
ABC267,2023-04-11 22:30:01,B - Split?,lattekawaii,C++ (GCC 9.2.1),0,1043 Byte,WA,8 ms,3584 KB
ABC267,2023-03-29 22:16:04,A - Saturday,lattekawaii,C++ (GCC 9.2.1),100,495 Byte,AC,8 ms,3604 KB
ABC268,2023-04-04 22:31:40,B - Prefix?,lattekawaii,C++ (GCC 9.2.1),200,430 Byte,AC,7 ms,3592 KB
ABC268,2023-03-31 23:56:39,A - Five Integers,lattekawaii,C++ (GCC 9.2.1),100,337 Byte,AC,7 ms,3616 KB
ABC270,2023-05-14 23:23:50,A - 1-2-4 Test,lattekawaii,C++ (GCC 9.2.1),100,315 Byte,AC,8 ms,3580 KB
ABC270,2023-04-19 21:25:01,B - Hammer,lattekawaii,C++ (GCC 9.2.1),200,884 Byte,AC,9 ms,3616 KB
ABC270,2023-04-19 21:20:40,B - Hammer,lattekawaii,C++ (GCC 9.2.1),0,849 Byte,WA,5 ms,3644 KB
ABC270,2023-04-19 21:16:57,B - Hammer,lattekawaii,C++ (GCC 9.2.1),0,844 Byte,WA,8 ms,3624 KB
